indice_a,indice_b,codigo_a,codigo_b,establecimiento_a,establecimiento_b,similitud_nombre,misma_direccion,mismo_telefono,status_a,status_b,decision
5641,5779,01-15-0297-46,01-15-0724-46,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,96.3,False,False,CERRADA TEMPORALMENTE,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
5641,5778,01-15-0297-46,01-15-0722-46,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,96.3,False,False,CERRADA TEMPORALMENTE,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
5640,5643,01-15-0295-46,01-15-0301-46,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,96.3,False,False,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
5640,5642,01-15-0295-46,01-15-0299-46,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,96.3,False,False,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
1506,1508,00-01-0433-46,00-01-0435-46,CENTRO DE ESUTIOS INTEGRALES HUGO ROBLES,CENTRO DE ESTUDIOS INTEGRALES HUGO ROBLES,96.3,True,True,CERRADA TEMPORALMENTE,CERRADA DEFINITIVAMENTE,"Probable duplicado (misma direccion y telefono): candidato a fusion, revisar"
1506,1507,00-01-0433-46,00-01-0434-46,CENTRO DE ESUTIOS INTEGRALES HUGO ROBLES,CENTRO DE ESTUDIOS INTEGRALES HUGO ROBLES,96.3,True,True,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE,"Probable duplicado (misma direccion y telefono): candidato a fusion, revisar"
1506,1548,00-01-0433-46,00-01-0515-46,CENTRO DE ESUTIOS INTEGRALES HUGO ROBLES,CENTRO DE ESTUDIOS INTEGRALES HUGO ROBLES,96.3,False,False,CERRADA TEMPORALMENTE,CERRADA DEFINITIVAMENTE,Probablemente distintos (direccion diferente): conservar ambos
3518,3546,02-03-0002-46,02-03-0150-46,"COLEGIO ""CENTRO DE FORMACION PROFESIONAL PRE-UNIVERSITARIA DEL CICLO DIVERSIFICADO""",COLEGIO CENTRO DE FORMACIÓN PROFESIONAL PRE-UNIVERISTARIA DEL CICLO DIVERSIFICADO,96.3,False,False,ABIERTA,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
3520,3546,02-03-0004-46,02-03-0150-46,"COLEGIO ""CENTRO DE FORMACION PROFESIONAL PRE-UNIVERSITARIA DEL CICLO DIVERSIFICADO""",COLEGIO CENTRO DE FORMACIÓN PROFESIONAL PRE-UNIVERISTARIA DEL CICLO DIVERSIFICADO,96.3,False,False,ABIERTA,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
2645,2646,00-07-2977-46,00-07-2978-46,LICEO DE COMPUTACION C.S.S,LICEO DE COMPUTACION 'C.S.S',96.3,False,False,ABIERTA,TEMPORAL TITULOS,Probablemente distintos (direccion diferente): conservar ambos
